#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ATG101	9606.ENSP00000338990	https://smart.embl.de/smart/DDvec.cgi?smart=218:Pfam_ATG101(9|172)+	Autophagy-related protein 101; Autophagy factor required for autophagosome formation. Stabilizes ATG13, protecting it from proteasomal degradation; Belongs to the ATG101 family	4WZG,5C50,60673,A0A024R128,AAG17273.1,AAH05151.1,AAH09937.1,AC025259,AF218031,AK021835,ATG101,ATG101-001,ATG101-002,ATG101-003,ATG101-004,ATG101-005,ATG101-006,ATG101-007,ATGA1_HUMAN,Autophagy related,Autophagy related 101,Autophagy-related protein 101,BAB13907.1,BC005151,BC009937,C12ORF44,C12orf44,C12orf44-001,C12orf44-002,C12orf44-003,C12orf44-004,C12orf44-005,C12orf44-006,C12orf44-007,CCDS8820,CCDS8820.1,EAW58229.1,EAW58230.1,ENSG00000123395,ENSP00000262045,ENSP00000322666,ENSP00000338990,ENSP00000401494,ENSP00000446546,ENSP00000449935,ENSP00000450088,ENSP00000454613,ENST00000262045,ENST00000321267,ENST00000336854,ENST00000433776,ENST00000547409,ENST00000548915,ENST00000550604,ENST00000550984,ENST00000552544,ENST00000552947,ENST00000553049,F8VQD9,F8VVA0,FLJ11773,H3BMZ4,HGNC:25679,HPA039904,NM_001098673,NM_001098673.1,NM_021934,NM_021934.4,NP_001092143,NP_001092143.1,NP_068753,NP_068753.2,NX_Q9BSB4,OMIM:615089,OTTHUMG00000169611,OTTHUMP00000241687,OTTHUMP00000241688,OTTHUMP00000241689,OTTHUMP00000249737,OTTHUMT00000405062,OTTHUMT00000405063,OTTHUMT00000405064,OTTHUMT00000405065,OTTHUMT00000405066,OTTHUMT00000405067,OTTHUMT00000405068,PP894,Q9BSB4,Q9HAE2,Q9HBN1,UPI000006DD29,UPI0000E59665,UPI00020CE285,UPI00024674E1,autophagy related 101,chromosome 12 open reading frame 44,hsa:60673,uc001rzu.4,uc001rzu.5,uc009zmd.3
ATG13	9606.ENSP00000432412	https://smart.embl.de/smart/DDvec.cgi?smart=550:Pfam_ATG13(77|195)+	Autophagy-related protein 13; Autophagy factor required for autophagosome formation and mitophagy. Target of the TOR kinase signaling pathway that regulates autophagy through the control of the phosphorylation status of ATG13 and ULK1, and the regulation of the ATG13-ULK1- RB1CC1 complex. Through its regulation of ULK1 activity, plays a role in the regulation of the kinase activity of mTORC1 and cell proliferation	3WAN,3WAO,3WAP,5C50,9776,AAH01331.1,AAH02378.1,AAH06191.1,AB014552,AK023867,AK223603,AK294110,AK315925,ATG13,ATG13 autophagy related 13 homolog,ATG13-001,ATG13-003,ATG13-004,ATG13-005,ATG13-006,ATG13-007,ATG13-008,ATG13-011,ATG13-012,ATG13-013,ATG13-014,ATG13-015,ATG13-016,ATG13-017,ATG13-018,ATG13-019,ATG13-020,ATG13-021,ATG13-022,ATG13-023,ATG13-024,ATG13-025,ATG13-026,ATG13-027,ATG13-028,ATG13-029,ATG13-030,ATG13-031,ATG13-032,ATG13-034,ATG13_HUMAN,Autophagy related,Autophagy related 13,Autophagy-related protein 13,B4DFI4,B7Z9G0,BAA31627.2,BAB14707.1,BAD97323.1,BAG57445.1,BAH14296.1,BC001331,BC002378,BC006191,CCDS44582,CCDS44582.1,CCDS55760,CCDS55760.1,CCDS55761,CCDS55761.1,CCDS7921,CCDS7921.1,D3DQQ1,D3DQQ2,E9PPR2,E9PQZ8,EAW67985.1,EAW67986.1,EAW67987.1,EAW67988.1,EAW67989.1,EAW67990.1,EAW67991.1,ENSG00000175224,ENSP00000310321,ENSP00000317455,ENSP00000317536,ENSP00000317630,ENSP00000343249,ENSP00000352500,ENSP00000378919,ENSP00000400642,ENSP00000404900,ENSP00000431877,ENSP00000431974,ENSP00000432412,ENSP00000433052,ENSP00000433543,ENSP00000433756,ENSP00000434125,ENSP00000434390,ENSP00000436174,ENSP00000436931,ENSP00000437191,ENSP00000462167,ENSP00000462644,ENSP00000463550,ENSP00000463808,ENSP00000463998,ENSP00000464091,ENSP00000464274,ENST00000312040,ENST00000326549,ENST00000326561,ENST00000326579,ENST00000343175,ENST00000359513,ENST00000395549,ENST00000434074,ENST00000451945,ENST00000524625,ENST00000525009,ENST00000525850,ENST00000526078,ENST00000526485,ENST00000526508,ENST00000526715,ENST00000527907,ENST00000528145,ENST00000528494,ENST00000528704,ENST00000528984,ENST00000529395,ENST00000529655,ENST00000530500,ENST00000530942,ENST00000531933,ENST00000532067,ENST00000533316,ENST00000533325,ENST00000534610,ENST00000577256,ENST00000578626,ENST00000579280,ENST00000580238,ENST00000581416,ENST00000581438,ENST00000582547,ENST00000583249,H0YCL5,H0YEM7,HGNC:29091,HPA039350,J3KRU6,J3KST9,J3QQM8,J3QR16,J3QR83,J3QRL1,J9JIF6,KIAA0652,NM_001142673,NM_001142673.2,NM_001205119,NM_001205119.1,NM_001205120,NM_001205120.1,NM_001205121,NM_001205121.1,NM_001205122,NM_001205122.1,NM_014741,NM_014741.4,NP_001136145,NP_001136145.1,NP_001192048,NP_001192048.1,NP_001192049,NP_001192049.1,NP_001192050,NP_001192050.1,NP_001192051,NP_001192051.1,NP_001333240.1,NP_001333241.1,NP_001333242.1,NP_001333243.1,NP_001333244.1,NP_001333245.1,NP_001333248.1,NP_001333249.1,NP_001333250.1,NP_001333251.1,NP_001333252.1,NP_001333253.1,NP_001333254.1,NP_001333255.1,NP_001333256.1,NP_001333257.1,NP_001333258.1,NP_001333259.1,NP_001333260.1,NP_001333261.1,NP_001333271.1,NP_001333273.1,NP_001333275.1,NP_001333277.1,NP_001333278.1,NP_001333279.1,NP_001333280.1,NP_001333281.1,NP_001333282.1,NP_001333283.1,NP_055556,NP_055556.2,NX_O75143,O75143,OMIM:615088,OTTHUMG00000166538,OTTHUMP00000233321,OTTHUMP00000233322,OTTHUMP00000233323,OTTHUMP00000233324,OTTHUMP00000233325,OTTHUMP00000233326,OTTHUMP00000233430,OTTHUMP00000233431,OTTHUMP00000233432,OTTHUMP00000233433,OTTHUMP00000233434,OTTHUMP00000261799,OTTHUMP00000261800,OTTHUMP00000261801,OTTHUMP00000261802,OTTHUMP00000261803,OTTHUMP00000261804,OTTHUMP00000261805,OTTHUMP00000261806,OTTHUMT00000390295,OTTHUMT00000390296,OTTHUMT00000390297,OTTHUMT00000390298,OTTHUMT00000390299,OTTHUMT00000390300,OTTHUMT00000390301,OTTHUMT00000390303,OTTHUMT00000390304,OTTHUMT00000390419,OTTHUMT00000390420,OTTHUMT00000390421,OTTHUMT00000390422,OTTHUMT00000390423,OTTHUMT00000390424,OTTHUMT00000390425,OTTHUMT00000390426,OTTHUMT00000390427,OTTHUMT00000390428,OTTHUMT00000390429,OTTHUMT00000390430,OTTHUMT00000447045,OTTHUMT00000447046,OTTHUMT00000447047,OTTHUMT00000447048,OTTHUMT00000447049,OTTHUMT00000447050,OTTHUMT00000447051,OTTHUMT00000447052,OTTHUMT00000447053,PARATARG8,Q53EN6,Q9BRL3,Q9H8B0,UPI000002B6FE,UPI0000139B84,UPI000153D6E4,UPI00017A6ED5,UPI0001F78898,UPI0001F7889A,UPI0001F7889B,UPI0001F7889C,UPI0001F7889D,UPI000268AE42,UPI000268AE43,UPI000268AE44,UPI000268AE45,UPI000268AE46,UPI000268AE47,UPI000268AE48,XM_005253262,XM_005253263,XM_005253265,XM_005253266,XM_005253268,XM_006718394,XM_006718395,XM_006718396,XP_005253319,XP_005253319.1,XP_005253320,XP_005253320.1,XP_005253322,XP_005253322.1,XP_005253323,XP_005253323.1,XP_005253325,XP_005253325.1,XP_006718457,XP_006718457.1,XP_006718458,XP_006718458.1,XP_006718459,XP_006718459.1,XP_011518795.1,XP_011518798.1,XP_011518801.1,XP_016874088.1,XP_016874092.1,XP_016874096.1,autophagy related 13,hsa:9776,uc001ncz.3,uc001ncz.4,uc001nda.3,uc001ndb.3,uc001ndc.3,uc010rgv.2
ATRN	9606.ENSP00000262919	https://smart.embl.de/smart/DDvec.cgi?smart=1429:EGF(100|130)+CUB(132|248)+EGF(249|283)+Pfam_Kelch_1(340|384)+Pfam_Kelch_5(390|434)+Pfam_Kelch_1(554|606)+PSI(647|694)+PSI(703|748)+CLECT(788|919)+PSI(932|983)+PSI(986|1061)+EGF_Lam(1063|1106)+EGF_like(1109|1155)+TRANS(1279|1301)+	Attractin; Involved in the initial immune cell clustering during inflammatory response and may regulate chemotactic activity of chemokines. May play a role in melanocortin signaling pathways that regulate energy homeostasis and hair color. Low-affinity receptor for agouti (By similarity). Has a critical role in normal myelination in the central nervous system (By similarity); C-type lectin domain containing	8455,A8KAE5,AAD03057.1,AAF72881.1,AAF72882.1,AAI01706.1,AB011120,AF034957,AF106861,AF218889,AF218890,AF218891,AF218892,AF218893,AF218894,AF218895,AF218896,AF218897,AF218898,AF218899,AF218900,AF218901,AF218902,AF218903,AF218904,AF218905,AF218906,AF218907,AF218908,AF218909,AF218910,AF218911,AF218912,AF218913,AF218914,AF218915,AK293010,AL109805,AL132773,AL353193,ATRN,ATRN-001,ATRN-002,ATRN_HUMAN,Attractin,BAA25474.1,BAF85699.1,BC101705,C-type lectin domain containing,CAH70471.1,CAH70472.1,CAI21876.1,CAI21878.1,CAI22614.1,CAI22616.1,CCDS13053,CCDS13053.1,CCDS13054,CCDS13054.1,DPPT-L,ENSG00000088812,ENSP00000262919,ENSP00000318008,ENSP00000344367,ENSP00000345373,ENSP00000349745,ENSP00000351451,ENSP00000369273,ENSP00000369275,ENSP00000369288,ENSP00000416587,ENST00000262919,ENST00000319375,ENST00000340500,ENST00000346099,ENST00000348517,ENST00000357212,ENST00000358628,ENST00000379941,ENST00000379943,ENST00000379955,ENST00000446916,HGNC:885,HPA008853,Hs.276252,Hs.705193,KIAA0548,MGCA,Mahogany homolog,NM_001207047,NM_001207047.1,NM_139321,NM_139321.2,NM_139322,NM_139322.2,NP_001193976,NP_001193976.1,NP_001310261.1,NP_647537,NP_647537.1,NP_647538,NP_647538.1,NX_O75882,O60295,O75882,O95414,OMIM:603130,OTTHUMG00000031746,OTTHUMP00000030102,OTTHUMP00000030103,OTTHUMT00000077739,OTTHUMT00000077740,Q3MIT3,Q5TDA2,Q5TDA4,Q5VYW3,Q9NTQ3,Q9NTQ4,Q9NU01,Q9NZ57,Q9NZ58,Q9UC75,Q9UDF5,UPI000002A486,UPI000012661C,XM_005260860,XM_005260860.1,XM_005260861,XM_005260861.1,XP_005260917,XP_005260917.1,XP_005260918,XP_005260918.1,attractin,hsa:8455,mahogany protein,uc002wil.2,uc002wil.3,uc002wim.2,uc002wim.3
ATXN1	9606.ENSP00000244769	https://smart.embl.de/smart/DDvec.cgi?smart=815:COIL(193|230)+Pfam_ATXN-1_C(426|445)+AXH(569|688)+	Ataxin-1; Chromatin-binding factor that repress Notch signaling in the absence of Notch intracellular domain by acting as a CBF1 corepressor. Binds to the HEY promoter and might assist, along with NCOR2, RBPJ-mediated repression. Binds RNA in vitro. May be involved in RNA metabolism. In concert with CIC and ATXN1L, involved in brain development (By similarity)	117400,164600,1OA8,2M41,4APT,4AQP,4J2J,4J2L,6310,A0A024R005,AAD14401.1,AAI17126.1,AL009031,ATX1,ATX1_HUMAN,ATXN1,ATXN1-001,ATXN1-002,ATXN1-003,ATXN1-004,ATXN1-005,ATXN1-006,ATXN1-007,ATXN1-008,ATXN1-009,ATXN1-201,Ataxin 1,Ataxin-1,Ataxins,BC117125,CAA15622.1,CAA55793.1,CCDS34342,CCDS34342.1,D6S504E,EAW55372.1,EAW55373.1,EAW55374.1,ENSG00000124788,ENSP00000244769,ENSP00000296857,ENSP00000296858,ENSP00000344426,ENSP00000368355,ENSP00000384776,ENSP00000397260,ENSP00000416360,ENST00000244769,ENST00000296857,ENST00000296858,ENST00000344707,ENST00000379065,ENST00000405101,ENST00000436367,ENST00000450222,ENST00000467008,ENST00000473388,ENST00000479680,ENST00000483591,ENST00000483954,ENST00000492857,ENST00000495178,ENST00000498374,HGNC:10548,HPA008335,Hs.434961,Hs.608641,Hs.609470,Hs.712773,Hs.712843,Hs.713053,Hs.733997,NM_000332,NM_000332.3,NM_001128164,NM_001128164.1,NP_000323,NP_000323.2,NP_001121636,NP_001121636.1,NX_P54253,OMIM:601556,OTTHUMG00000014303,OTTHUMP00000016065,OTTHUMT00000039943,OTTHUMT00000329715,OTTHUMT00000329716,OTTHUMT00000329717,OTTHUMT00000329718,OTTHUMT00000329719,OTTHUMT00000329720,OTTHUMT00000329721,OTTHUMT00000329722,P54253,Q17S02,Q9UJG2,Q9Y4J1,S82497,SCA1,Spinocerebellar ataxia type 1 protein,UPI000013CB8B,X79204,ataxin 1,hsa:6310,spinocerebellar ataxia 1,uc003nbt.3,uc003nbt.4,uc003nbu.1,uc003nbv.1,uc003nbw.1,uc010jpi.3
AZGP1	9606.ENSP00000292401	https://smart.embl.de/smart/DDvec.cgi?smart=298:SIGNAL(1|20)+Pfam_MHC_I(26|201)+IGc1(220|290)+	Zinc-alpha-2-glycoprotein; Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids; Belongs to the MHC class I family	1T7V,1T7W,1T7X,1T7Y,1T7Z,1T80,1ZAG,3ES6,563,AAA61311.1,AAH05306.1,AAH33830.1,AZGP1,AZGP1-001,AZGP1-002,AZGP1-003,AZGP1-004,AZGP1-005,AZGP1-006,Alpha-2-glycoprotein 1, zinc-binding,BAA03123.1,BAA14417.1,BC005306,BC033830,C1-set domain containing,C9JEV0,CAA42438.1,CAA49574.1,CAB016087,CCDS5680,CCDS5680.1,D14034,D6W5T8,D90427,EAL23862.1,EAW76621.1,EAW76622.1,ENSG00000160862,ENSP00000292401,ENSP00000377658,ENSP00000389942,ENSP00000396093,ENSP00000406094,ENST00000292401,ENST00000394098,ENST00000411734,ENST00000419575,ENST00000423052,ENST00000477251,ENST00000483612,ENST00000495765,HGNC:910,HPA012582,Hs.546239,Hs.568109,M76707,NM_001185,NM_001185.3,NP_001176,NP_001176.1,NX_P25311,O60386,OMIM:194460,OTTHUMG00000023066,OTTHUMP00000024684,OTTHUMP00000210306,OTTHUMP00000210307,OTTHUMT00000059387,OTTHUMT00000345054,OTTHUMT00000345055,OTTHUMT00000345056,OTTHUMT00000345057,OTTHUMT00000345058,P25311,Q5XKQ4,Q8N4N0,UPI00000720DE,UPI0000D4BCFF,UPI000198CEA7,X59766,X69953,ZA2G,ZA2G_HUMAN,ZAG,ZNGP1,Zinc-alpha-2-glycoprotein,alpha-2-glycoprotein 1, zinc,alpha-2-glycoprotein 1, zinc-binding,hsa:563,uc003ush.3,uc003ush.4
C3	9606.ENSP00000245907	https://smart.embl.de/smart/DDvec.cgi?smart=1663:SIGNAL(1|22)+Pfam_A2M_N(129|224)+A2M_N_2(456|605)+ANATO(693|728)+A2M(770|866)+Pfam_Thiol-ester_cl(1000|1028)+Pfam_A2M_comp(1051|1284)+A2M_recep(1398|1493)+C345C(1533|1645)+	Complement C3; C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates; C3 and PZP like, alpha-2-macroglobulin domain containing	1C3D,1GHQ,1W2S,2A73,2A74,2GOX,2HR0,2I07,2ICE,2ICF,2NOJ,2QKI,2WII,2WIN,2WY7,2WY8,2XQW,2XWB,2XWJ,3.4.21.43,3D5R,3D5S,3G6J,3L3O,3L5N,3NMS,3OED,3OHX,3OXU,3RJ3,3T4A,4HW5,4HWJ,4I6O,4M76,4ONT,4ZH1,5FO7,5FO8,5FO9,5FOA,5FOB,5M6W,5O32,5O35,718,A7E236,AAA35722.1,AAA85332.1,AAI50180.1,AAI50201.1,AAR89906.1,ACJ13656.1,AHUS5,ARMD9,ASP,AY513239,BC150179,BC150200,C3,C3-001,C3-002,C3-003,C3-004,C3-005,C3-006,C3-007,C3-008,C3-009,C3-010,C3-011,C3-012,C3-013,C3-014,C3-015,C3-016,C3-017,C3-018,C3a,C3a anaphylatoxin,C3b,CAB004209,CCDS32883,CCDS32883.1,CHEMBL4917,CO3_HUMAN,CPAMD1,Complement C3,Complement component 3,Complement system,EAW69071.1,ENSG00000125730,ENSP00000245907,ENSP00000311824,ENSP00000373803,ENSP00000373804,ENSP00000406291,ENSP00000469482,ENSP00000469744,ENSP00000471384,ENSP00000472044,ENST00000245907,ENST00000308005,ENST00000389151,ENST00000389152,ENST00000428815,ENST00000594005,ENST00000594270,ENST00000594936,ENST00000595577,ENST00000596179,ENST00000596238,ENST00000596548,ENST00000597442,ENST00000598805,ENST00000599668,ENST00000599899,ENST00000600744,ENST00000600763,ENST00000601008,ENST00000601475,ENST00000602053,ENST00000602229,EU794602,Endogenous ligands,HEL-S-62P,HEL-S-62p,HGNC:1318,HPA003563,HPA020432,Hs.529053,I39.950,J04763,K02765,LRG_27,LRG_27t1,M0QYC8,M0R0Q9,M0R1Q1,M63423,NM_000064,NM_000064.2,NP_000055,NP_000055.2,NX_P01024,OMIM:120700,OTTHUMG00000150335,OTTHUMP00000197086,OTTHUMP00000267616,OTTHUMP00000267617,OTTHUMP00000267876,OTTHUMP00000269528,OTTHUMT00000317636,OTTHUMT00000317637,OTTHUMT00000317638,OTTHUMT00000317639,OTTHUMT00000317640,OTTHUMT00000317641,OTTHUMT00000317642,OTTHUMT00000317643,OTTHUMT00000317644,OTTHUMT00000317645,OTTHUMT00000317646,OTTHUMT00000317647,OTTHUMT00000317648,OTTHUMT00000457864,OTTHUMT00000457865,OTTHUMT00000457866,OTTHUMT00000457867,OTTHUMT00000458276,P01024,Q6LDJ0,UPI000013EC9B,UPI0002A470B2,UPI0002A471C6,UPI0002A471D3,UPI0002A474AC,V9HWA9,complement C3,complement component 3,complement component C3a,complement component C3b,hsa:718,prepro-C3,uc002mfm.3,uc002mfm.4
C8A	9606.ENSP00000354458	https://smart.embl.de/smart/DDvec.cgi?smart=584:SIGNAL(1|20)+TSP1(41|91)+LDLa(95|132)+MACPF(288|492)+TSP1(542|584)+	Complement component C8 alpha chain; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C8A inserts into the target membrane, but does not form pores by itself; Belongs to the complement C6/C7/C8/C9 family	2QOS,2QQH,2RD7,3OJY,731,A2RUI4,A2RUI5,AAA52200.1,AAA82124.1,AAI32912.1,AAI32914.1,BC132911,BC132913,C8A,C8A-001,CAI19172.1,CCDS606,CCDS606.1,CO8A_HUMAN,Complement component 8 subunit alpha,Complement component 8, alpha polypeptide,Complement component C8 alpha chain,Complement system,ENSG00000157131,ENSP00000287797,ENSP00000342856,ENSP00000354458,ENSP00000360282,ENST00000287797,ENST00000340792,ENST00000361249,ENST00000371238,HGNC:1352,Hs.93210,LRG_139,LRG_139t1,M16974,NM_000562,NM_000562.2,NP_000553,NP_000553.1,NX_P07357,OMIM:120950,OTTHUMG00000008306,OTTHUMP00000010016,OTTHUMT00000022890,P07357,Q13668,Q9H130,U07996,U07997,U07998,U07999,U08000,U08001,U08002,U08003,U08004,U08005,U08006,UPI0000127C5A,complement C8 alpha chain,complement component 8 alpha subunit,complement component 8, alpha polypeptide,hsa:731,uc001cyo.2,uc001cyo.3
C8B	9606.ENSP00000360281	https://smart.embl.de/smart/DDvec.cgi?smart=591:SIGNAL(1|32)+TSP1(67|117)+LDLa(121|157)+MACPF(291|498)+TSP1(548|591)+	Complement component C8 beta chain; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells; Belongs to the complement C6/C7/C8/C9 family	3OJY,732,A1L4K7,AAA51862.1,AAI30576.1,AK313382,AL121998,BAG36180.1,BC130575,C82,C8B,C8B-001,C8B-002,C8B-003,C8B-004,C8B-201,C8B-202,CAA27981.1,CAC18532.1,CCDS30730,CCDS30730.1,CCDS60151,CCDS60151.1,CCDS60152,CCDS60152.1,CO8B_HUMAN,Complement component 8 subunit beta,Complement component 8, beta polypeptide,Complement component C8 beta chain,Complement system,EAX06641.1,ENSG00000021852,ENSP00000234643,ENSP00000344246,ENSP00000360281,ENSP00000440113,ENSP00000442548,ENST00000234643,ENST00000340651,ENST00000371237,ENST00000465658,ENST00000468990,ENST00000494324,ENST00000535057,ENST00000543257,F5GY80,F5H7G1,HGNC:1353,HPA023694,Hs.391835,Hs.702980,LRG_31,M16973,NM_000066,NM_000066.3,NM_001278543,NM_001278543.1,NM_001278544,NM_001278544.1,NP_000057,NP_000057.2,NP_001265472,NP_001265472.1,NP_001265473,NP_001265473.1,NX_P07358,OMIM:120960,OTTHUMG00000008305,OTTHUMP00000010015,OTTHUMT00000022886,OTTHUMT00000022887,OTTHUMT00000317687,OTTHUMT00000317688,P07358,UPI000013C9B2,UPI0002065077,UPI0002065078,X04393,XM_005271166,XM_005271166.1,XM_006710873,XM_006710873.1,XP_005271223,XP_005271223.1,XP_006710936,XP_006710936.1,XP_016857724.1,complement C8 beta chain,complement component 8, beta polypeptide,hsa:732,uc001cyp.4,uc001cyp.5,uc010oon.3,uc010ooo.3
C8G	9606.ENSP00000224181	https://smart.embl.de/smart/DDvec.cgi?smart=202:SIGNAL(1|20)+Pfam_Lipocalin(48|186)+	Complement component C8 gamma chain; C8 is a constituent of the membrane attack complex. C8 binds to the C5B-7 complex, forming the C5B-8 complex. C5-B8 binds C9 and acts as a catalyst in the polymerization of C9. The gamma subunit seems to be able to bind retinol; Complement system	1IW2,1LF7,2OVA,2OVD,2OVE,2QOS,2RD7,3OJY,733,AAA18482.1,AAA51863.1,AAA51888.1,AAI13625.1,AAI13627.1,BC113624,BC113626,C8C,C8G,C8G-001,C8G-002,C8G-003,C8G-004,CAA29773.1,CAI12749.1,CCDS7017,CCDS7017.1,CO8G_HUMAN,Complement component 8, gamma polypeptide,Complement component C8 gamma chain,Complement system,EAW88316.1,ENSG00000176919,ENSP00000224181,ENSP00000342249,ENSP00000360697,ENSP00000360699,ENST00000224181,ENST00000341167,ENST00000371634,ENST00000371636,ENST00000465773,ENST00000484376,HGNC:1354,HPA046269,Hs.1285,Lipocalins,M17263,M17999,NM_000606,NM_000606.2,NP_000597,NP_000597.2,NX_P07360,OMIM:120930,OTTHUMG00000020955,OTTHUMP00000022634,OTTHUMP00000022635,OTTHUMT00000055178,OTTHUMT00000055179,OTTHUMT00000055180,OTTHUMT00000055181,P07360,Q14CT8,Q14CU0,Q5SQ07,Q5SQ08,U08198,UPI0000210FCA,UPI0000470357,X06465,XR_245338,XR_245338.2,complement C8 gamma chain,complement component 8, gamma polypeptide,hsa:733,uc004cka.2,uc004cka.3
CFH	9606.ENSP00000356399	https://smart.embl.de/smart/DDvec.cgi?smart=1231:SIGNAL(1|18)+CCP(21|80)+CCP(85|141)+CCP(146|205)+CCP(210|262)+CCP(267|320)+CCP(325|385)+CCP(389|442)+CCP(448|505)+CCP(509|564)+CCP(569|623)+CCP(630|684)+CCP(691|744)+CCP(753|803)+CCP(811|864)+CCP(870|926)+CCP(931|984)+CCP(989|1043)+CCP(1048|1102)+CCP(1109|1163)+CCP(1167|1228)+	Complement factor H; Factor H functions as a cofactor in the inactivation of C3b by factor I and also increases the rate of dissociation of the C3bBb complex (C3 convertase) and the (C3b)NBB complex (C5 convertase) in the alternative complement pathway	1FHC,1HAQ,1HCC,1HFH,1HFI,1KOV,2BZM,2G7I,2IC4,2JGW,2JGX,2KMS,2QFG,2QFH,2RLP,2RLQ,2UWN,2V8E,2W80,2W81,2WII,2XQW,3075,3GAU,3GAV,3GAW,3KXV,3KZJ,3OXU,3R62,3RJ3,3SW0,4AYD,4AYE,4AYI,4AYM,4B2R,4B2S,4J38,4K12,4ONT,4ZH1,5O32,5O35,5WTB,609496,A0A024R962,A5PL14,AAA35948.1,AAA52013.1,AAB01987.1,AAH37285.1,AAI10644.1,AAI42700.1,ABB02180.1,AHUS1,AL049744,AMBP1,ARMD4,ARMS1,BC037285,BC110643,BC142699,CAA30403.1,CAA68704.1,CAA82763.1,CAB016385,CAB016769,CAB41739.1,CAI19672.1,CCDS1385,CCDS1385.1,CCDS53452,CFAH_HUMAN,CFH,CFH-001,CFH-002,CFH-003,CFH-004,CFH-005,CFHL3,CHEMBL4629,Complement factor H,Complement system,DQ233256,EAW91260.1,EAW91261.1,ENSG00000000971,ENSP00000001567,ENSP00000352658,ENSP00000356398,ENSP00000356399,ENSP00000375846,ENSP00000402656,ENST00000001567,ENST00000359637,ENST00000367428,ENST00000367429,ENST00000391986,ENST00000439155,ENST00000466229,ENST00000470918,ENST00000496761,FH,FHL1,H factor 1,H factor 2,HF,HF1,HF2,HGNC:4883,HPA038922,HPA049176,HUS,Hs.363396,LRG_47,LRG_47t1,M12383,M65294,NM_000186,NM_000186.3,NM_001014975,NM_001014975.2,NP_000177,NP_000177.2,NP_001014975,NP_001014975.1,NX_P08603,OMIM:134370,OTTHUMG00000035607,OTTHUMP00000033598,OTTHUMP00000034106,OTTHUMT00000086412,OTTHUMT00000087502,OTTHUMT00000087503,OTTHUMT00000088705,OTTHUMT00000317692,P08603,P78435,Q14570,Q2TAZ5,Q38G77,Q5TFM2,Q5TFM3,Q8N708,Q9NU86,Sushi domain containing,U56979,UPI000013C4D1,UPI00004709EB,X04697,X07523,XM_006711283,XM_006711283.1,XP_006711346,XP_006711346.1,Y00716,Z29665,age-related maculopathy susceptibility 1,beta-1H,complement factor H,hsa:3075,uc001gtj.4,uc009wyx.3
