#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACE	HGF	9606.ENSP00000290866	9606.ENSP00000222390	0	0	0	0	0	0	0	0.570	0.570
ACE	LPL	9606.ENSP00000290866	9606.ENSP00000309757	0	0	0	0	0.061	0	0	0.440	0.451
ACE	PECAM1	9606.ENSP00000290866	9606.ENSP00000457421	0	0	0	0	0.069	0	0	0.455	0.471
ATG7	GABARAPL2	9606.ENSP00000346437	9606.ENSP00000037243	0	0	0	0	0.077	0.812	0.900	0.949	0.999
ATG7	RPS6KB1	9606.ENSP00000346437	9606.ENSP00000225577	0	0	0	0	0.063	0	0	0.621	0.630
ATG7	RHEB	9606.ENSP00000346437	9606.ENSP00000262187	0	0	0	0	0.062	0.080	0	0.642	0.664
ATG7	GABARAPL1	9606.ENSP00000346437	9606.ENSP00000266458	0	0	0	0	0.077	0.802	0.900	0.958	0.999
ATG7	MTOR	9606.ENSP00000346437	9606.ENSP00000354558	0	0	0	0	0.048	0	0	0.758	0.760
CD2AP	PTK2B	9606.ENSP00000352264	9606.ENSP00000380638	0	0	0	0	0	0	0	0.518	0.518
CD2AP	INF2	9606.ENSP00000352264	9606.ENSP00000376410	0	0	0	0	0	0	0	0.801	0.801
CDH5	HGF	9606.ENSP00000344115	9606.ENSP00000222390	0	0	0	0	0	0	0	0.479	0.479
CDH5	KITLG	9606.ENSP00000344115	9606.ENSP00000228280	0	0	0	0	0.062	0	0	0.439	0.451
CDH5	PXN	9606.ENSP00000344115	9606.ENSP00000267257	0	0	0	0	0.061	0	0	0.510	0.520
CDH5	KIT	9606.ENSP00000344115	9606.ENSP00000288135	0	0	0	0	0.085	0.050	0	0.606	0.628
CDH5	PTK2B	9606.ENSP00000344115	9606.ENSP00000380638	0	0	0	0	0	0	0	0.656	0.657
CDH5	PECAM1	9606.ENSP00000344115	9606.ENSP00000457421	0	0	0	0	0.143	0	0.800	0.938	0.988
CLOCK	CRY1	9606.ENSP00000308741	9606.ENSP00000008527	0	0	0	0	0.062	0.958	0.900	0.944	0.999
CSRP1	PXN	9606.ENSP00000356275	9606.ENSP00000267257	0	0	0	0	0.202	0.151	0	0.316	0.496
FUCA2	PDIA6	9606.ENSP00000002165	9606.ENSP00000385385	0	0	0	0	0.093	0	0.900	0.069	0.908
GABARAPL1	GABARAPL2	9606.ENSP00000266458	9606.ENSP00000037243	0	0	0	0.958	0.063	0.045	0.900	0.775	0.905
GABARAPL1	RPS6KB1	9606.ENSP00000266458	9606.ENSP00000225577	0	0	0	0	0	0	0	0.480	0.480
GABARAPL1	RHEB	9606.ENSP00000266458	9606.ENSP00000262187	0	0	0	0	0.063	0.050	0	0.551	0.566
GABARAPL1	MTOR	9606.ENSP00000266458	9606.ENSP00000354558	0	0	0	0	0	0.077	0	0.714	0.724
GABARAPL2	RPS6KB1	9606.ENSP00000037243	9606.ENSP00000225577	0	0	0	0	0.046	0	0	0.460	0.462
GABARAPL2	RHEB	9606.ENSP00000037243	9606.ENSP00000262187	0	0	0	0	0.063	0.050	0	0.530	0.545
GABARAPL2	MTOR	9606.ENSP00000037243	9606.ENSP00000354558	0	0	0	0	0	0.077	0	0.712	0.723
HGF	PXN	9606.ENSP00000222390	9606.ENSP00000267257	0	0	0	0	0	0	0	0.482	0.482
HGF	MTOR	9606.ENSP00000222390	9606.ENSP00000354558	0	0	0	0	0	0	0	0.519	0.519
HGF	PECAM1	9606.ENSP00000222390	9606.ENSP00000457421	0	0	0	0	0.070	0	0	0.639	0.649
HGF	KITLG	9606.ENSP00000222390	9606.ENSP00000228280	0	0	0	0	0	0	0	0.662	0.662
HGF	KIT	9606.ENSP00000222390	9606.ENSP00000288135	0	0	0	0	0.068	0	0.600	0.593	0.835
HGF	THBS1	9606.ENSP00000222390	9606.ENSP00000260356	0	0	0	0	0.061	0	0.900	0.744	0.973
KIT	RPS6KB1	9606.ENSP00000288135	9606.ENSP00000225577	0	0	0	0.553	0	0.233	0.900	0.433	0.934
KIT	KITLG	9606.ENSP00000288135	9606.ENSP00000228280	0	0	0	0	0.062	0.900	0.900	0.964	0.999
KIT	MTOR	9606.ENSP00000288135	9606.ENSP00000354558	0	0	0	0	0	0.080	0	0.560	0.577
KIT	PECAM1	9606.ENSP00000288135	9606.ENSP00000457421	0	0	0	0	0	0	0	0.783	0.783
KITLG	RPS6KB1	9606.ENSP00000228280	9606.ENSP00000225577	0	0	0	0	0	0	0.900	0.262	0.923
KITLG	PECAM1	9606.ENSP00000228280	9606.ENSP00000457421	0	0	0	0	0	0	0	0.553	0.553
LAMTOR1	RPS6KB1	9606.ENSP00000278671	9606.ENSP00000225577	0	0	0	0	0.042	0	0.900	0.322	0.929
LAMTOR1	LAMTOR5	9606.ENSP00000278671	9606.ENSP00000256644	0	0	0	0	0.106	0.998	0.900	0.711	0.999
LAMTOR1	RHEB	9606.ENSP00000278671	9606.ENSP00000262187	0	0	0	0	0.181	0	0.900	0.661	0.969
LAMTOR1	MTOR	9606.ENSP00000278671	9606.ENSP00000354558	0	0	0	0	0	0.993	0.900	0.440	0.999
LAMTOR5	RPS6KB1	9606.ENSP00000256644	9606.ENSP00000225577	0	0	0	0	0.061	0	0.900	0.168	0.915
LAMTOR5	RHEB	9606.ENSP00000256644	9606.ENSP00000262187	0	0	0	0	0.107	0	0.900	0.424	0.944
LAMTOR5	MTOR	9606.ENSP00000256644	9606.ENSP00000354558	0	0	0	0	0	0.993	0.900	0.397	0.999
MAPKAP1	RPS6KB1	9606.ENSP00000265960	9606.ENSP00000225577	0	0	0	0	0.061	0.395	0	0.825	0.892
MAPKAP1	RHEB	9606.ENSP00000265960	9606.ENSP00000262187	0	0	0	0	0	0.186	0	0.679	0.728
MAPKAP1	MTOR	9606.ENSP00000265960	9606.ENSP00000354558	0	0	0	0	0.061	0.942	0.900	0.858	0.999
MTOR	RPS6KB1	9606.ENSP00000354558	9606.ENSP00000225577	0	0	0	0	0.062	0.974	0.900	0.980	0.999
MTOR	RHEB	9606.ENSP00000354558	9606.ENSP00000262187	0	0	0	0	0.056	0.952	0.900	0.968	0.999
