#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA7	APOA1	9606.ENSP00000263094	9606.ENSP00000236850	0	0	0	0	0	0	0.900	0.284	0.925
ABCA7	MAPT	9606.ENSP00000263094	9606.ENSP00000340820	0	0	0	0	0	0	0	0.492	0.491
ABCA7	APP	9606.ENSP00000263094	9606.ENSP00000284981	0	0	0	0	0.051	0	0	0.669	0.672
ABCA7	BIN1	9606.ENSP00000263094	9606.ENSP00000316779	0	0	0	0	0.061	0	0	0.836	0.839
ACE	SERPINE1	9606.ENSP00000290866	9606.ENSP00000223095	0	0	0	0	0	0	0	0.854	0.854
ACE	APOB	9606.ENSP00000290866	9606.ENSP00000233242	0	0	0	0	0.063	0	0	0.587	0.596
ACE	APOA1	9606.ENSP00000290866	9606.ENSP00000236850	0	0	0	0	0.061	0	0	0.511	0.521
ACE	CRP	9606.ENSP00000290866	9606.ENSP00000255030	0	0	0	0	0	0	0	0.798	0.798
ACE	APP	9606.ENSP00000290866	9606.ENSP00000284981	0	0	0	0	0.062	0	0	0.545	0.555
ACE	LPL	9606.ENSP00000290866	9606.ENSP00000309757	0	0	0	0	0.061	0	0	0.440	0.451
ACTN1	VCL	9606.ENSP00000377941	9606.ENSP00000211998	0	0	0	0	0.273	0.974	0.900	0.770	0.999
ACTN1	SERPINE1	9606.ENSP00000377941	9606.ENSP00000223095	0	0	0	0	0.135	0	0.900	0.101	0.915
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0	0.982	0.107	0.997	0.900	0.725	0.999
ACTN1	APP	9606.ENSP00000377941	9606.ENSP00000284981	0	0	0	0	0.087	0	0.900	0.074	0.908
ACTN4	VCL	9606.ENSP00000252699	9606.ENSP00000211998	0	0	0	0	0.114	0.960	0.900	0.734	0.998
ACTN4	SERPINE1	9606.ENSP00000252699	9606.ENSP00000223095	0	0	0	0	0.085	0.379	0.900	0.154	0.945
ACTN4	APP	9606.ENSP00000252699	9606.ENSP00000284981	0	0	0	0	0.090	0	0.900	0.079	0.908
ANGPT1	SERPINE1	9606.ENSP00000428340	9606.ENSP00000223095	0	0	0	0	0	0	0	0.440	0.440
ANGPT1	TIE1	9606.ENSP00000428340	9606.ENSP00000361554	0	0	0	0	0	0.051	0	0.777	0.780
ANGPT1	PLAU	9606.ENSP00000428340	9606.ENSP00000361850	0	0	0	0	0	0.157	0	0.323	0.404
ANGPT1	TEK	9606.ENSP00000428340	9606.ENSP00000369375	0	0	0	0	0.076	0.385	0.900	0.986	0.999
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0	0	0	0.091	0.974	0.800	0.956	0.999
APBB1	MAPT	9606.ENSP00000477213	9606.ENSP00000340820	0	0	0	0	0.109	0	0	0.440	0.480
APOA1	SERPIND1	9606.ENSP00000236850	9606.ENSP00000215727	0	0	0	0	0.598	0	0.900	0.288	0.968
APOA1	SERPINE1	9606.ENSP00000236850	9606.ENSP00000223095	0	0	0	0	0.061	0	0	0.527	0.536
APOA1	APOC3	9606.ENSP00000236850	9606.ENSP00000227667	0	0	0	0	0.957	0.104	0.900	0.843	0.999
